State,Code
Alabama,01
Alaska,02
Arizona,03
Arkansas,04
California,05
Colorado,06
Connecticut,07
Delaware,08
District of Columbia,09
Florida,10
Georgia,11
Hawaii,12
Idaho,13
Illinois,14
Indiana,15
Iowa,16
Kansas,17
Kentucky,18
Louisiana,19
Maine,20
Maryland,21
Massachusetts,22
Michigan,23
Minnesota,24
Mississippi,25
Missouri,26
Montana,27
Nebraska,28
Nevada,29
New Hampshire,30
New Jersey,31
New Mexico,32
New York,33
North Carolina,34
North Dakota,35
Ohio,36
Oklahoma,37
Oregon,38
Pennsylvania,39
Puerto Rico,40
Rhode Island,41
South Carolina,42
South Dakota,43
Tennessee,44
Texas,45
Utah,46
Vermont,47
U.S. Virgin Islands,48
Virginia,49
Washington,50
West Virginia,51
Wisconsin,52
Wyoming,53
Africa,54
Asia,55
Canada and Islands,56
Central America and West Indies,57
Europe,58
Mexico,59
Oceania,60
Philippines,61
South America,62
U.S. Possessions,63
American Samoa,64
Guam,65
Commonwealth of the Northern Mariana Islands,66
Texas,67
Florida,68
Florida,69
Kansas,70
Louisiana,71
Ohio,72
Pennsylvania,73
Texas,74
Maryland,80
Commonwealth of the Northern Mariana Islands,97
Guam,98
American Samoa,99
