severity_tier,income_q,n,mean,median,std
High,Q1_low,22117,475.38933851788215,408.0,357.301888288435
High,Q2,22031,466.44423766510823,399.0,345.0225444913159
High,Q3,21676,457.82898136187487,406.0,287.6680620291362
High,Q4_high,20012,445.5868978612832,385.0,323.01512220202034
Medium,Q1_low,28797,653.9982637080251,499.0,579.0191164704903
Medium,Q2,30190,623.8001324942034,476.0,542.9508078218944
Medium,Q3,31032,582.8863753544728,473.0,446.816068919204
Medium,Q4_high,32044,594.8127262514043,460.0,514.0832075393553
Low,Q1_low,40117,990.8396191140913,664.0,975.1261738582366
Low,Q2,37253,920.8817544895713,640.0,885.062271493334
Low,Q3,37079,808.1406726179239,610.0,710.4091253384496
Low,Q4_high,36766,850.6910460751782,593.0,830.5818953804796
